0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210
63.5356,130.214,0.744009,64.1374,146.46,0.791091,67.1459,162.105,0.767617,70.1545,178.953,0.772301,75.5699,193.394,0.77627,83.3922,204.826,0.769785,96.0282,216.861,0.771289,106.859,225.886,0.809995,123.105,229.497,0.763976,139.953,228.293,0.819518,154.394,220.471,0.845179,166.429,209.64,0.800664,177.26,197.004,0.765344,183.878,180.156,0.84755,188.09,165.113,0.806138,189.896,147.062,0.757701,192.904,130.816,0.713979,72.5613,119.383,0.773732,80.9853,109.154,0.766808,93.0196,107.349,0.853498,106.257,110.959,0.839347,118.292,116.976,0.735496,135.14,116.375,0.812476,145.369,108.552,0.842642,159.208,106.747,0.885381,170.641,107.951,0.861809,180.268,113.968,0.809066,126.716,128.409,0.836481,126.716,141.045,0.888572,126.716,154.884,0.853476,126.114,166.317,0.8642,113.478,171.13,0.85559,120.097,174.741,0.927694,125.512,175.944,0.941845,132.131,174.741,0.89859,139.352,173.537,0.830726,86.4008,129.011,0.857088,92.4179,126.002,0.91193,102.045,126.604,0.934033,109.266,130.816,0.849586,101.444,132.019,0.967891,92.4179,132.019,0.947823,145.369,130.214,0.92344,153.191,125.4,0.874858,161.013,125.4,0.861289,168.836,127.807,0.922484,161.615,131.417,0.868974,153.793,131.417,0.934653,102.045,190.385,0.880278,111.071,188.58,0.892545,117.69,186.173,0.834375,123.707,189.182,0.881072,130.326,188.58,0.892417,136.945,190.385,0.838629,145.369,194.597,0.897806,136.343,202.42,0.83088,129.122,204.225,0.87447,121.902,203.623,0.918324,116.486,203.021,0.916136,109.266,198.809,0.887332,106.257,190.987,0.879631,116.486,190.987,0.872211,123.105,193.394,0.857337,129.724,193.394,0.833492,141.758,194.597,0.849949,129.724,195.801,0.812419,122.504,195.199,0.851192,116.486,194.597,0.946056,97.2316,127.205,0.863766,157.403,127.205,0.845658,0
57.6556,129.886,0.767892,58.8823,148.286,0.787295,60.1089,164.233,0.818838,65.0156,180.793,0.761367,72.9889,195.513,0.750181,83.4156,208.393,0.825099,96.2956,218.206,0.756838,109.789,226.793,0.777922,127.576,228.633,0.840359,142.909,226.793,0.788472,155.789,217.593,0.783682,166.829,204.713,0.768687,176.642,191.833,0.788111,181.549,174.046,0.811561,183.389,158.099,0.769838,186.456,140.313,0.759093,186.456,124.366,0.739293,74.2156,119.459,0.846573,84.0289,113.326,0.829506,98.1356,110.873,0.846773,110.402,113.939,0.830106,123.282,117.006,0.754942,138.616,115.166,0.847502,148.429,109.646,0.872839,159.469,105.966,0.83613,171.122,105.966,0.860012,180.322,110.873,0.834366,132.482,129.273,0.941833,132.482,143.379,0.906483,133.096,156.259,0.869242,133.096,169.753,0.862415,118.376,175.886,0.882569,123.896,178.339,0.931941,132.482,179.566,0.878653,138.002,178.339,0.924089,144.136,176.499,0.782044,87.0956,131.113,0.844679,93.8423,128.046,0.876125,103.656,127.433,0.894946,111.016,132.339,0.833423,103.042,134.179,0.967333,93.8423,134.793,0.949949,147.816,129.273,1.00091,153.336,123.753,0.907598,162.536,123.139,0.894394,169.282,125.593,0.881824,163.149,129.886,0.922759,155.176,129.886,0.883375,104.882,194.286,0.847974,114.696,193.059,0.855976,123.282,191.833,0.866412,128.802,193.673,0.93163,134.936,193.059,0.845378,142.296,193.673,0.915498,149.656,197.353,0.816542,142.296,203.486,0.866441,134.322,207.166,0.786467,128.189,206.553,0.829562,122.669,204.713,0.837645,113.469,202.259,0.84347,109.176,194.286,0.851679,123.282,196.126,0.884843,128.189,197.353,0.897397,134.936,197.353,0.815559,147.202,197.966,0.894808,134.936,199.193,0.804886,128.189,198.579,0.898734,122.669,197.966,0.947638,98.1356,129.886,0.879005,157.629,124.979,0.914537,0
57.7077,134.957,0.771789,60.1227,153.673,0.788888,61.934,170.578,0.801745,66.764,187.483,0.828295,75.8202,202.577,0.782599,86.6878,215.86,0.765001,101.178,226.123,0.800308,118.687,232.765,0.750409,134.384,234.576,0.804126,149.478,230.35,0.784303,161.553,220.69,0.773338,171.817,207.407,0.773495,178.458,192.917,0.791882,183.288,177.823,0.792088,186.91,160.315,0.790145,187.514,144.013,0.798496,188.118,125.901,0.733616,74.6127,119.863,0.80521,84.8765,112.618,0.806822,96.9515,110.203,0.829371,110.234,111.411,0.863513,124.12,115.033,0.827931,139.214,112.015,0.800704,149.478,105.977,0.877496,162.157,104.77,0.853956,172.42,105.373,0.910362,181.477,110.807,0.879411,133.78,126.505,0.843807,133.78,139.787,0.939928,134.384,153.673,0.913382,135.592,167.56,0.832536,120.498,176.616,0.835209,128.95,177.823,0.961958,134.988,178.427,0.911707,142.233,177.823,0.875553,148.27,174.201,0.891295,86.084,131.938,0.854927,95.1403,127.712,0.872259,104.197,126.505,0.889302,110.838,131.335,0.851535,104.197,134.353,0.933896,95.1403,134.957,0.914515,148.874,129.523,0.995017,154.308,122.278,0.903168,163.364,121.071,0.906161,171.817,125.297,0.912556,164.572,130.127,0.908631,156.723,130.127,0.918542,109.63,197.143,0.92716,119.29,192.313,0.917418,128.95,188.087,0.862879,134.988,190.502,0.841651,142.837,188.087,0.885257,148.874,191.106,0.853748,157.327,196.54,0.867638,149.478,202.577,0.873709,143.44,206.803,0.932175,135.592,206.803,0.887115,128.95,206.803,0.929362,119.29,203.785,0.846987,114.46,197.143,0.921016,128.95,195.936,0.83478,134.988,195.936,0.837867,142.837,194.728,0.854329,153.1,196.54,0.902263,142.837,197.143,0.909282,135.592,197.747,0.900667,128.95,197.143,0.902366,99.3665,129.523,0.836459,158.534,125.297,0.937573,0
57.7894,130.544,0.723504,58.3947,147.492,0.755375,60.8158,165.65,0.855169,65.0527,182.598,0.758632,70.5003,198.335,0.783852,80.79,210.441,0.78518,94.7114,223.152,0.810803,109.238,230.415,0.797598,124.975,234.047,0.843292,141.318,230.415,0.769875,153.423,221.336,0.773765,164.318,209.835,0.789292,173.398,195.309,0.799381,180.056,180.177,0.784089,183.082,163.834,0.768745,187.319,146.886,0.816929,188.53,131.754,0.71366,74.7372,116.017,0.770083,84.4217,108.149,0.823562,95.922,105.727,0.808593,109.238,106.333,0.826271,123.16,108.149,0.749401,138.291,107.543,0.844128,149.186,103.306,0.830134,161.897,104.517,0.843209,172.187,108.149,0.910523,181.266,114.201,0.842496,129.818,127.517,0.853802,130.423,141.439,0.864831,129.818,155.36,0.834407,129.818,168.071,0.829675,114.686,175.334,0.919863,122.554,176.545,0.854814,129.212,179.571,0.91739,135.87,177.15,0.831149,143.134,175.334,0.896138,86.2375,127.517,0.912053,94.7114,123.886,0.900323,103.791,123.886,0.887883,110.449,129.939,0.847642,103.185,131.754,0.891107,94.7114,131.754,0.912329,147.976,131.149,0.917111,153.423,123.886,0.898809,163.108,123.886,0.90396,169.766,129.333,0.843835,163.108,132.36,0.961336,154.634,132.36,0.929066,103.791,195.309,0.892869,113.475,192.888,0.84517,121.344,190.466,0.854944,128.607,193.493,0.885448,134.055,191.072,0.893412,142.528,194.703,0.886705,149.792,197.73,0.837911,142.528,205.598,0.865798,134.055,209.835,0.945462,127.396,209.835,0.900713,119.528,209.23,0.952674,111.054,204.388,0.875402,108.028,195.914,0.822785,120.738,197.125,0.817678,128.002,198.94,0.904623,134.055,198.94,0.904944,147.371,198.94,0.827441,134.055,199.546,0.937435,128.002,199.546,0.901347,120.133,198.94,0.860379,98.9484,126.912,0.83177,158.266,127.517,0.967576,1
56.4002,129.82,0.760896,56.4002,148.545,0.793169,57.6485,165.397,0.802868,62.0177,183.498,0.816075,67.6353,199.103,0.848059,77.622,212.835,0.798629,91.978,224.07,0.860211,106.958,233.432,0.875243,123.187,235.305,0.797847,140.039,233.432,0.769444,152.523,224.07,0.859963,163.134,212.835,0.77299,172.496,198.479,0.794308,178.738,182.25,0.749644,183.107,164.773,0.79665,186.852,149.169,0.861994,188.101,132.94,0.72498,73.2528,115.464,0.773079,82.6154,108.598,0.862638,96.3472,104.853,0.845823,108.831,104.229,0.82048,122.562,108.598,0.805232,139.415,107.974,0.789697,151.274,103.604,0.856405,162.509,104.229,0.923898,172.496,108.598,0.893258,181.859,114.215,0.914481,131.925,127.947,0.869456,131.925,140.431,0.891493,131.925,154.162,0.95278,131.925,168.518,0.906159,115.072,174.136,0.847593,121.938,177.881,0.94021,128.804,179.129,0.863076,136.918,178.505,0.938531,142.536,174.76,0.860361,86.3604,128.571,0.89869,93.2263,124.202,0.917625,102.589,124.202,0.942042,111.327,129.195,0.900753,102.589,131.068,0.893548,92.6022,131.692,0.876209,147.529,130.444,0.904662,154.395,124.202,0.888899,163.134,124.202,0.910808,170.624,129.82,0.894675,163.134,133.565,0.933778,155.644,133.565,0.904755,101.965,194.734,0.9163,112.576,192.861,0.907534,121.938,189.74,0.871759,127.556,193.485,0.941185,134.422,191.613,0.835074,142.536,194.109,0.960488,150.026,198.479,0.878712,142.536,207.217,0.880023,133.798,209.714,0.872541,126.932,209.714,0.924772,118.817,209.089,0.893993,110.703,204.096,0.852472,106.958,195.982,0.852414,121.314,197.854,0.843239,127.556,198.479,0.963217,133.798,198.479,0.873566,146.905,199.103,0.913951,133.798,199.727,0.842158,127.556,199.727,0.92517,120.69,199.103,0.86714,97.5955,126.699,0.793161,157.516,128.571,0.94027,1
52.4818,128.599,0.720842,53.1173,147.665,0.760778,54.3884,167.367,0.828099,58.2016,185.162,0.719732,64.557,201.685,0.71142,74.7255,214.396,0.75216,89.3428,228.378,0.699263,105.231,236.64,0.735162,124.297,239.182,0.79274,142.092,237.275,0.733998,156.074,228.378,0.773774,166.243,213.761,0.784537,173.869,199.143,0.736283,179.589,183.255,0.774989,182.766,167.367,0.803005,186.58,149.572,0.799459,188.486,132.412,0.734123,72.8189,115.253,0.741404,83.623,106.991,0.795075,95.6982,104.449,0.818685,110.315,105.72,0.864674,122.391,111.44,0.748691,139.55,111.44,0.793342,150.354,105.72,0.818029,161.794,103.813,0.832395,174.504,106.991,0.852703,182.131,115.888,0.863176,131.288,127.328,0.860939,131.924,140.674,0.83372,133.195,154.02,0.824402,133.83,167.367,0.810594,115.4,173.722,0.856796,122.391,177.535,0.902885,130.653,180.077,0.896995,138.279,178.171,0.882332,145.905,176.9,0.88581,84.8941,127.328,0.883598,93.7916,124.15,0.827275,102.054,124.15,0.865144,110.315,129.235,0.846728,101.418,131.141,0.906662,92.5205,131.141,0.85441,147.176,131.141,0.883005,156.074,124.15,0.906732,164.971,124.786,0.835133,171.327,129.87,0.894684,164.971,132.412,0.904526,156.074,132.412,1.00226,100.147,198.508,0.894986,110.315,193.424,0.908962,121.12,192.788,0.905256,128.746,194.059,0.842559,135.737,193.424,0.92512,145.27,196.601,0.831163,151.625,202.957,0.869459,145.27,212.49,0.829449,135.737,214.396,0.84204,126.204,214.396,0.810481,117.306,213.761,0.779752,107.138,208.676,0.778131,103.96,199.143,0.846644,120.484,198.508,0.919289,127.475,200.414,0.860806,135.737,199.143,0.855224,148.448,202.957,0.860865,135.737,208.041,0.875471,126.839,207.405,0.830029,119.848,206.77,0.787711,96.9692,126.692,0.863286,159.252,127.328,0.864164,1
57.505,132.691,0.715991,58.1358,150.352,0.800658,60.028,168.643,0.720801,63.1818,185.674,0.80746,70.12,200.812,0.747949,79.5812,215.95,0.779983,93.4577,228.565,0.787764,108.596,236.764,0.812542,126.257,240.549,0.802296,143.287,236.134,0.792839,157.794,226.672,0.765194,168.517,215.319,0.832015,177.978,200.181,0.782742,183.024,183.781,0.760164,184.916,166.12,0.791809,188.701,149.721,0.858535,189.332,132.691,0.725104,72.0123,114.399,0.748349,79.5812,104.938,0.799751,92.827,99.8917,0.825229,106.703,97.9995,0.763655,120.58,99.261,0.770905,138.872,97.9995,0.792693,152.117,94.8457,0.799724,164.102,99.261,0.851919,174.194,104.938,0.868683,183.024,114.399,0.847129,128.78,125.122,0.880501,128.78,138.998,0.899558,128.78,150.982,0.865501,128.78,164.859,0.910506,114.903,174.951,0.862656,122.472,176.212,0.885078,128.78,178.105,0.872352,135.718,175.582,0.864367,143.287,174.951,0.905012,85.258,128.275,0.853452,92.827,123.229,0.901101,102.919,122.599,0.886195,109.857,129.537,0.904301,102.919,130.798,0.897793,92.827,131.429,0.916508,145.179,129.537,0.934636,153.379,123.86,0.951342,163.471,124.491,0.912295,169.148,129.537,0.957993,163.471,133.321,0.898188,153.379,132.691,0.945534,103.55,200.812,0.931576,113.642,195.135,0.906654,123.103,190.72,0.914678,128.78,191.35,0.91013,135.087,190.72,0.883772,143.918,195.135,0.911398,150.225,201.442,0.829742,143.918,212.165,0.834651,135.087,216.58,0.84674,128.149,217.211,0.933803,121.211,215.95,0.896797,112.38,211.534,0.86718,108.596,200.812,0.921606,123.103,197.658,0.81223,128.78,198.919,0.882859,135.087,198.289,0.832858,147.702,201.442,0.861439,135.087,205.858,0.842102,128.78,205.858,0.879114,122.472,205.858,0.868705,97.873,125.122,0.853272,157.794,126.383,0.899085,2
55.3709,130.342,0.74969,55.3709,149.377,0.8213,56.6399,168.412,0.783068,60.4469,184.909,0.823773,66.7919,200.771,0.746961,76.9439,215.365,0.779568,91.5374,229.324,0.789154,106.765,236.938,0.773747,124.531,240.745,0.789632,141.663,235.669,0.753812,154.987,226.151,0.750008,166.408,214.73,0.813044,173.388,200.137,0.815294,178.464,184.274,0.794661,182.905,167.143,0.792687,187.347,149.377,0.825496,187.981,133.514,0.764103,72.5024,113.21,0.763342,82.0199,105.596,0.785954,95.3445,101.789,0.800468,107.4,99.2511,0.823049,121.993,100.52,0.794861,140.394,99.2511,0.753123,151.815,97.9821,0.86779,163.236,99.2511,0.833393,174.022,104.962,0.795355,182.271,113.845,0.902346,131.511,127.169,0.840137,131.511,139.225,0.940854,131.511,153.818,0.937674,132.145,167.143,0.851795,116.283,175.391,0.856004,122.628,178.564,0.869466,131.511,179.198,0.918747,137.221,177.929,0.889902,143.566,174.757,0.84478,85.8269,128.438,0.940702,92.8064,123.362,0.91775,102.324,123.362,0.892034,111.207,129.073,0.940786,101.689,132.245,0.901308,92.1719,132.245,0.874022,146.739,129.073,0.976536,153.718,123.997,0.911422,162.601,123.997,0.927175,170.85,129.073,0.908029,162.601,133.514,0.939078,154.353,132.88,0.871407,101.689,200.771,0.871467,111.841,195.061,0.896737,122.628,190.619,0.850821,130.876,193.157,0.880577,136.587,190.619,0.928287,145.47,194.426,0.88392,151.18,201.406,0.836287,144.835,211.558,0.815968,136.587,217.268,0.840791,128.338,219.172,0.872692,121.359,218.537,0.887112,111.207,214.096,0.857511,106.765,202.04,0.881004,121.993,198.868,0.860297,130.242,198.868,0.844754,136.587,198.868,0.873226,146.739,202.04,0.864123,136.587,207.751,0.782596,128.973,209.02,0.808724,121.993,209.02,0.835701,97.2479,125.9,0.774514,157.525,127.804,0.91925,2
58.2484,129.035,0.718707,58.2484,147.834,0.817217,59.5018,166.634,0.753106,63.2617,182.928,0.801872,69.5284,200.474,0.725363,81.4349,214.887,0.730874,93.9682,227.421,0.808808,109.635,236.82,0.799728,127.181,239.327,0.823079,142.848,236.194,0.806766,156.634,225.541,0.736831,167.914,213.007,0.829821,176.061,198.594,0.769382,181.701,182.928,0.806908,184.208,166.634,0.799882,187.968,149.088,0.820744,188.594,132.168,0.764116,74.5417,108.355,0.726853,83.3149,101.461,0.791405,95.8482,96.4482,0.777539,108.381,94.5682,0.810625,122.795,97.0748,0.867252,142.848,96.4482,0.788232,153.501,93.3148,0.819829,167.914,96.4482,0.819633,177.941,102.715,0.855266,182.954,112.741,0.877232,132.821,127.155,0.859838,132.821,139.688,0.863609,132.821,152.848,0.918128,132.821,167.261,0.893125,117.781,177.288,0.899739,124.048,177.914,0.899565,132.195,181.048,0.842466,137.835,177.914,0.937719,143.475,177.288,0.882567,87.7016,127.781,0.964687,93.9682,122.141,0.950051,103.995,122.768,0.905497,112.768,129.035,0.885743,103.368,132.168,0.951083,93.9682,132.168,0.961684,147.861,130.288,0.932135,154.128,122.768,0.924481,164.154,122.768,0.925398,171.674,127.781,0.874098,164.154,132.795,0.963704,155.381,132.795,0.917142,104.621,200.474,0.840537,114.021,196.087,0.840906,123.421,192.954,0.917742,130.941,194.834,0.823825,137.835,192.954,0.920883,144.101,196.714,0.843739,152.874,202.354,0.912481,145.354,211.754,0.831515,137.835,215.514,0.871822,129.688,216.141,0.848157,122.795,214.261,0.891556,113.395,209.874,0.849195,109.008,201.727,0.884692,123.421,201.727,0.882926,130.315,202.354,0.869591,137.835,201.727,0.890868,148.488,202.354,0.93743,137.835,202.981,0.911235,130.315,203.607,0.824141,123.421,202.981,0.914868,98.3548,126.528,0.828662,158.514,127.155,0.978837,2
63.346,133.747,0.68327,63.9745,150.715,0.739904,65.8598,167.683,0.772403,69.6305,185.908,0.800034,74.6581,201.62,0.789525,84.0848,216.074,0.761132,96.0253,226.757,0.827082,111.108,236.184,0.866704,126.819,239.955,0.804929,145.044,236.813,0.805637,160.127,226.757,0.802125,171.439,216.074,0.827121,181.494,201.62,0.839933,187.15,185.908,0.793287,190.921,168.312,0.771624,194.063,151.344,0.786067,195.32,133.747,0.70027,71.5159,110.495,0.736695,80.3141,101.696,0.728076,90.9977,97.2973,0.756404,104.195,95.412,0.751481,116.764,96.0404,0.697006,136.874,94.7835,0.758525,151.329,91.0128,0.835847,165.783,95.412,0.828886,177.095,102.953,0.805941,185.265,114.894,0.813225,127.448,123.692,0.763039,126.819,136.261,0.835994,126.819,150.715,0.866807,126.191,164.541,0.842038,115.507,175.225,0.889491,121.163,176.482,0.946205,126.819,176.482,0.87381,134.361,175.853,0.901287,140.645,174.596,0.862756,85.9701,128.72,0.893237,92.2546,122.435,0.865835,101.681,121.807,0.871423,110.48,129.348,0.900544,101.681,131.862,0.925909,92.2546,131.862,0.871148,145.673,129.348,0.904043,153.842,121.807,0.872155,163.269,121.807,0.872501,170.811,128.72,0.89403,163.269,131.862,0.867808,154.471,131.862,0.885941,104.824,199.106,0.863042,112.365,193.45,0.825211,121.163,190.936,0.906274,126.819,191.564,0.917706,133.732,190.936,0.869376,141.273,194.078,0.846617,150.7,200.363,0.896361,142.53,209.161,0.80419,134.361,212.303,0.85306,126.819,212.932,0.900975,120.535,212.303,0.979753,111.736,207.904,0.865594,108.594,199.734,0.841722,121.163,196.592,0.929789,126.819,197.22,0.915001,133.732,196.592,0.870524,146.301,200.363,0.863438,134.361,201.62,0.849333,126.819,202.248,0.875167,121.163,201.62,0.9099,97.9106,126.206,0.821145,156.985,125.577,0.909703,2
